Designator,Mid X,Mid Y,Layer,Rotation
R51,83.5,-69.25,Top,90
R52,83.5,-73.25,Top,90
R53,65,-28.75,Top,90
R54,83.5,-65.25,Top,90
R55,65,-84.5,Top,90
R56,83.5,-48,Top,90
R57,83.5,-32.75,Top,90
R58,83.5,-36.75,Top,90
R59,83.5,-88.5,Top,90
R60,83.5,-92.5,Top,90
R61,102,-52,Top,90
R62,102,-56,Top,90
R63,102,-69.25,Top,90
R64,102,-73.25,Top,90
R65,83.5,-28.75,Top,90
R66,102,-65.25,Top,90
R67,83.5,-84.5,Top,90
R68,102,-48,Top,90
R69,102,-32.75,Top,90
R70,102,-36.75,Top,90
R71,102,-88.5,Top,90
R72,102,-92.5,Top,90
R73,120.5,-52,Top,90
R74,120.5,-56,Top,90
R75,120.5,-69.25,Top,90
R76,120.5,-73.25,Top,90
R77,102,-28.75,Top,90
R78,120.5,-65.25,Top,90
R79,102,-84.5,Top,90
R80,120.5,-48,Top,90
R81,120.5,-32.75,Top,90
R82,120.5,-36.75,Top,90
R83,120.5,-88.5,Top,90
R84,120.5,-92.5,Top,90
R85,139,-52,Top,90
R86,139,-56,Top,90
R87,139,-69.25,Top,90
R88,139,-73.25,Top,90
R89,120.5,-28.75,Top,90
R90,139,-65.25,Top,90
R91,120.5,-84.5,Top,90
R92,139,-48,Top,90
R93,11.25,-93,Top,270
R94,45.25,-85.5,Top,0
R95,40.75,-85.5,Top,0
R96,24.5,-87.75,Top,90
R97,57,-87.75,Top,270
R98,11.25,-46.75,Top,90
R99,36.25,-55.25,Top,180
R100,40.75,-55.25,Top,180
R101,24.5,-52,Top,270
R102,57,-52.5,Top,90
R103,11.5,-28.25,Top,90
R104,36.25,-36.25,Top,180
R105,40.75,-36.25,Top,180
R106,24.75,-33.5,Top,270
R107,57,-33.5,Top,90
R108,11.25,-74,Top,270
R109,45.25,-66.25,Top,0
R110,40.75,-66.25,Top,0
R111,24.5,-68.75,Top,90
R112,57,-68.75,Top,270
R113,-106.75,-34.25,Top,90
R114,-102.25,-42.5,Top,270
S2,-128.22,-32.08,Top,90
U1,-128.22,-54.94,Top,180
